A000038,A000041,A000108,A000123,A000132,A000150,A000263,A000275,A000315,B000114,B000125,B000165,B000181,B000233,B000256,B000266,B000277,B000281,B000285,B000286,B000338,B000340,B000475,B000526,B000528,B000581,B000585,B000628,B000662,B000663,B000830,B000932,B001046,B001049,B001058,B001073,B001082,B001129,B001204,C000018,C000061,C000098,C000160,C000177,C000230,C000283,C000300,C000359,C000362,C000375,C000405,C000451,C000453,C000481,C000491,C000534,C000583,C000700,C000791,C000808,C000867,C000872,C000918,D000056,D000079,D000092,D000117,D000142,D000159,D000181,D000226,D000245,D000248,D000309,D000318,D000330,D000535,D000544,E000150,E000241,E000264,E000265,E000277,F000064,F000090,F000115,F000246,F000273,F000314,F000327,F000411,F000415,F000423,G000011,G000033,G000070,G000148,G000200,G000216,G000319,G000324,G000355,G000404,G000451,G000462,H000052,H000056,H000072,H000089,H000097,H000167,H000180,H000184,H000221,H000224,H000276,H000345,H000360,H000373,H000416,H000430,H000486,H000575,H000860,H000883,H000994,H000997,I000014,J000009,J000028,J000056,J000062,J000122,J000137,J000164,J000170,J000180,J000212,J000252,K000022,K000174,K000202,K000224,L000057,L000086,L000094,L000131,L000150,L000164,L000183,L000205,L000257,L000278,L000315,L000455,L000488,L000490,L000541,L000546,M000099,M000107,M000110,M000128,M000161,M000204,M000220,M000223,M000277,M000320,M000352,M000426,M000479,M000489,M000501,M000516,M000519,M000556,M000607,M000642,M000734,M000767,M000793,M000813,M000827,M000917,M000953,M001065,M001097,O000115,P000023,P000061,P000074,P000132,P000140,P000160,P000282,P000312,P000321,P000333,P000343,P000355,P000397,P000409,P000433,P000472,R000028,R000121,R000162,R000174,R000323,S000116,S000130,S000233,S000331,S000338,S000365,S000474,S000475,S000495,S000531,S000699,S000715,S000789,S000834,S000891,S000899,S000944,S001083,T000103,T000105,T000166,T000181,T000230,T000304,T000391,T000422,T000435,T000442,V000017,V000028,V000046,V000107,W000016,W000125,W000146,W000195,W000218,W000241,W000321,W000358,W000365,W000431,W000432,W000460,W000527,W000574,W000649,Y000034,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,,Yea,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Nay,Yea,,,Nay,Nay,Yea,Nay,,Yea,,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Not Voting,,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,,Nay,,Yea,Yea,Not Voting,Not Voting,Nay,Nay,,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Not Voting,Not Voting,,Yea,Not Voting,Nay,,Nay,Not Voting,Yea,Nay,Yea,Yea,,,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,1835-02-24,0,,unknown,hr648,,,,unknown
Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,,Nay,Yea,Not Voting,Yea,Yea,,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Not Voting,Yea,Nay,,,Nay,Yea,Not Voting,Not Voting,,Yea,,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,,Nay,,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Nay,,Yea,,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,,Yea,Not Voting,,Nay,Nay,Yea,,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,,,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1835-02-25,0,,unknown,,,,,unknown
Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,,Nay,Nay,Not Voting,Yea,Yea,,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,,Not Voting,Nay,Yea,,,Yea,Yea,Not Voting,Yea,,Not Voting,,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,,Yea,,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,Yea,,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,,Yea,Not Voting,,Nay,Yea,Yea,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,,Yea,Nay,Yea,Yea,Nay,Yea,Nay,1835-02-25,0,,unknown,hjres19,,,,unknown
Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,,Yea,Nay,Not Voting,Yea,Yea,,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Nay,,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Nay,Not Voting,,,Nay,Nay,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,,Yea,,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Nay,,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,,Not Voting,Nay,Nay,,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,,,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,1835-02-25,0,,unknown,s145,,,,unknown
Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,,Not Voting,Nay,Not Voting,,,Yea,Nay,Nay,Nay,,Nay,,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,,Nay,,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,Yea,,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,,Nay,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,Yea,Nay,,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,1835-02-25,0,,unknown,hjres19,,,,unknown
Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Nay,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,,Not Voting,Nay,Nay,,,Nay,Nay,Nay,Yea,,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,,Nay,,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,,Not Voting,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,,Not Voting,Nay,,Nay,Not Voting,Nay,,Yea,Not Voting,Nay,Not Voting,Nay,Nay,,,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,1835-02-26,0,,unknown,hr648,,,,unknown
Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Yea,,Nay,Nay,Nay,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Not Voting,Nay,Yea,,,Nay,Nay,Yea,Nay,,Yea,,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Yea,,Nay,,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,,Yea,Yea,Nay,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,1835-02-26,0,,unknown,hr648,,,,unknown
Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Not Voting,Nay,Nay,,Nay,Yea,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,,Not Voting,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,,Yea,,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,,Nay,Nay,,Yea,,Nay,Nay,Nay,Not Voting,Not Voting,Yea,,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,,Yea,Yea,,Nay,Not Voting,Yea,,Nay,Not Voting,Yea,Nay,Yea,Nay,,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,1835-02-26,0,,unknown,hr648,,,,unknown
Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Nay,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,Yea,Nay,,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,,Not Voting,Yea,Yea,,,Nay,Yea,Yea,Not Voting,,Yea,,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,,Yea,,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Not Voting,Yea,,Yea,,Yea,Yea,Not Voting,Not Voting,Nay,Nay,,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Yea,Yea,,Nay,Not Voting,Yea,,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,,,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,1835-02-26,0,,unknown,,,,,unknown
Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,Nay,Nay,,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Nay,,,Nay,Nay,Yea,Nay,,Yea,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,,Yea,,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,,Not Voting,Yea,,Nay,,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,,Nay,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,1835-02-27,0,,unknown,,,,,unknown
Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Yea,,Nay,Yea,Nay,,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,,Not Voting,Yea,Nay,,,Nay,Yea,Yea,Nay,,Yea,,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,,Yea,,Nay,Yea,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,,Yea,Yea,,Nay,Nay,Yea,,Nay,Not Voting,Yea,Not Voting,Yea,Yea,,,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1835-02-27,0,,unknown,,,,,unknown
Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Yea,,Nay,Yea,Nay,,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,,Not Voting,Yea,Nay,,,Yea,Yea,Yea,Nay,,Yea,,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,,Yea,,Nay,Yea,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,,Yea,Yea,,Nay,Nay,Yea,,Nay,Not Voting,Yea,Not Voting,Yea,Yea,,,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1835-02-27,0,,unknown,,,,,unknown
