A000062,A000161,A000186,B000063,B000201,B000254,B000384,B000436,B000593,B000813,B000871,B001077,B001209,B001210,C000120,C000154,C000220,C000388,C000444,C000758,C000802,C001006,D000360,D000390,D000409,E000018,E000112,E000211,F000013,F000245,F000401,G000282,G000320,G000465,G000508,H000170,H000237,H000291,H000297,H000343,H000385,H000559,H000598,H000720,H000725,H000875,I000025,J000013,J000064,J000267,J000269,K000105,K000114,K000335,L000122,L000415,L000428,M000053,M000113,M000311,M000332,M000445,M000452,M000486,M000671,M000730,M000851,M000859,M000876,M001014,M001022,M001033,M001078,M001092,M001121,N000033,P000100,P000166,P000193,P000222,P000552,P000553,R000046,R000191,R000536,S000174,S000505,S000590,S000701,S000739,S000852,S001136,T000035,T000254,T000322,T000445,W000502,W000518,Y000006,Y000047,Y000053,date,isAmendment,requires,result,title
Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,1967-03-06,0,,unknown,s355
Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,1967-03-06,0,,unknown,s355
Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,1967-03-06,0,,unknown,s355
Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1967-03-07,0,,unknown,s355
Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1967-03-07,0,,unknown,s355
Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1967-03-07,0,,unknown,s355
Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Nay,,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,1967-03-09,0,,unknown,
Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,1967-03-14,0,,unknown,
Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,1967-03-15,0,,unknown,
Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,1967-03-15,0,,unknown,
Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,1967-03-15,0,,unknown,
Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,1967-03-15,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,1967-03-16,0,,unknown,
Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,1967-03-20,0,,unknown,hr7123
Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1967-03-21,0,,unknown,s666
Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1967-03-21,0,,unknown,
Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1967-04-11,0,,unknown,sjres65
Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,1967-04-12,0,,unknown,hr6950
Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,1967-04-12,0,,unknown,hr6950
Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,1967-04-13,0,,unknown,hr6950
Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,1967-04-13,0,,unknown,hr6950
Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,1967-04-13,0,,unknown,hr6950
Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,1967-04-14,0,,unknown,
Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,1967-04-14,0,,unknown,hr6950
Not Voting,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,1967-04-14,0,,unknown,hr6950
Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,1967-04-14,0,,unknown,hr6950
Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,1967-04-17,0,,unknown,hr6950
Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,1967-04-17,0,,unknown,hr6950
Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,1967-04-18,0,,unknown,
Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,1967-04-18,0,,unknown,hr6950
