A000262,B000059,B000248,B000365,B000459,B000473,B000759,B000835,B000857,B000900,C000068,C000299,C000348,C000427,C000480,C000524,C000628,C000912,D000113,D000369,D000428,D000457,D000573,F000099,F000158,F000174,F000248,F000308,G000414,G000475,G000540,H000034,H000121,H000128,H000211,H000353,H000468,H000988,I000049,J000116,J000172,K000103,K000211,L000062,L000110,M000084,M000216,M000970,N000096,P000161,P000411,P000481,P000560,R000198,S000074,S000216,S000261,S000417,S000487,S001068,T000122,T000231,T000313,T000392,W000005,W000138,W000447,W000476,W000585,Y000061,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,,Nay,Not Voting,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,1860-03-14,0,,unknown,hr5,,,,unknown
Nay,,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,,Nay,Yea,Nay,Nay,1860-03-14,0,,unknown,hr5,,,,unknown
Nay,,Nay,Nay,Nay,Nay,Not Voting,Yea,,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Not Voting,Yea,Nay,Not Voting,1860-03-14,0,,unknown,hr5,,,,unknown
Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,1860-03-14,0,,unknown,hr5,,,,unknown
Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,Yea,Yea,1860-03-14,0,,unknown,hr5,,,,unknown
Nay,,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,1860-03-15,0,,unknown,,,,,unknown
Nay,,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,,Not Voting,Nay,Nay,Yea,1860-03-15,0,,unknown,,,,,unknown
Yea,,Not Voting,Yea,Yea,Nay,Nay,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,1860-03-15,0,,unknown,s247,,,,unknown
Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,,Not Voting,Nay,Not Voting,Yea,1860-03-15,0,,unknown,s86,,,,unknown
Yea,,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,Yea,Not Voting,1860-03-15,0,,unknown,sjres6,,,,unknown
Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,,Yea,Not Voting,Yea,Yea,1860-03-16,0,,unknown,,,,,unknown
Nay,,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,,Nay,Yea,Nay,Yea,1860-03-16,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,1860-03-16,0,,unknown,,,,,unknown
Nay,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,1860-03-16,0,,unknown,,,,,unknown
Nay,,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Nay,Nay,Not Voting,1860-03-16,0,,unknown,s45,,,,unknown
Not Voting,,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Not Voting,1860-03-16,0,,unknown,s45,,,,unknown
Nay,,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,,Not Voting,Nay,Nay,Not Voting,1860-03-16,0,,unknown,s45,,,,unknown
Yea,,Nay,Nay,Nay,Yea,Not Voting,Nay,,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,1860-03-16,0,,unknown,s45,,,,unknown
Yea,,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Not Voting,1860-03-16,0,,unknown,s101,,,,unknown
Not Voting,,Not Voting,Yea,Yea,Nay,Yea,Yea,,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,,Yea,Nay,Yea,Yea,1860-03-16,0,,unknown,,,,,unknown
Yea,,Nay,Nay,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,,Not Voting,Yea,Yea,Nay,1860-03-19,0,,unknown,s37,,,,unknown
Not Voting,,Yea,Not Voting,Yea,Nay,Yea,Yea,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,,Not Voting,Not Voting,Nay,Not Voting,1860-03-20,0,,unknown,,,,,unknown
Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Nay,,Yea,Nay,Nay,Nay,1860-03-20,0,,unknown,,,,,unknown
Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,,Nay,Yea,Not Voting,Yea,1860-03-22,0,,unknown,s192,,,,unknown
Yea,,Nay,Nay,Not Voting,Yea,Nay,Nay,,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,Not Voting,Not Voting,1860-03-23,0,,unknown,s66,,,,unknown
Yea,,Not Voting,Yea,Yea,Nay,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,,Yea,Nay,Not Voting,Not Voting,1860-03-23,0,,unknown,s109,,,,unknown
Not Voting,,Not Voting,Nay,Not Voting,Yea,Nay,Nay,,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,,Not Voting,Not Voting,Not Voting,Not Voting,1860-03-23,0,,unknown,,,,,unknown
Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Nay,Not Voting,Not Voting,1860-03-23,0,,unknown,s110,,,,unknown
Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Yea,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Nay,Yea,Not Voting,Yea,1860-03-26,0,,unknown,s84,,,,unknown
Not Voting,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,1860-03-26,0,,unknown,hr4,,,,unknown
Nay,,Not Voting,Yea,Yea,Nay,Yea,Not Voting,,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,Not Voting,Not Voting,Yea,1860-03-26,0,,unknown,s45,,,,unknown
Not Voting,,Yea,Yea,Yea,Nay,Nay,Not Voting,,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,1860-03-27,0,,unknown,s299,,,,unknown
Not Voting,,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,1860-03-27,0,,unknown,s299,,,,unknown
Not Voting,,Not Voting,Nay,Nay,Yea,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,1860-03-27,0,,unknown,s299,,,,unknown
Nay,,Nay,Nay,Not Voting,Yea,Nay,Nay,,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Nay,1860-03-28,0,,unknown,s299,,,,unknown
Nay,,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Not Voting,Not Voting,Not Voting,Nay,1860-03-28,0,,unknown,s299,,,,unknown
Yea,,Not Voting,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,1860-03-29,0,,unknown,,,,,unknown
Yea,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Nay,1860-03-29,0,,unknown,s303,,,,unknown
Nay,,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,,Nay,Yea,Not Voting,Not Voting,1860-03-30,0,,unknown,s324,,,,unknown
Yea,,Not Voting,Yea,Not Voting,Yea,Nay,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,Nay,1860-03-30,0,,unknown,s111,,,,unknown
Not Voting,,Not Voting,Nay,Not Voting,Yea,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,,Yea,Not Voting,Not Voting,Not Voting,1860-03-31,0,,unknown,s201,,,,unknown
