A000160,A000262,A000279,B000039,B000166,B000253,B000289,B000519,B000595,B000630,B000968,B001130,B001184,C000064,C000065,C000068,C000271,C000299,C000379,C000576,C000601,C000681,C000701,D000097,D000103,D000148,D000242,D000441,E000028,E000056,E000229,F000095,G000065,G000313,G000505,H000121,H000243,H000527,H000587,H000654,H000856,I000012,J000191,J000214,J000237,K000069,K000133,K000242,L000030,M000255,M000265,M000385,M000412,M000570,M000593,M000659,M000818,M000954,M000969,M001020,O000048,P000010,P000123,P000389,R000050,R000062,R000411,S000065,S000072,S000076,S000292,S000346,S000362,S000723,T000116,T000251,V000116,W000009,W000084,W000435,W000629,W000659,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,,Yea,,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,,Nay,Not Voting,Nay,Yea,Nay,Not Voting,,Nay,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,1877-11-26,0,,unknown,,,,,unknown
Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,1877-11-26,0,,unknown,,,,,unknown
Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,1877-11-26,0,,unknown,,,,,unknown
Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,1877-11-26,0,,unknown,,,,,unknown
Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,1877-11-27,0,,unknown,,,,,unknown
Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,1877-11-28,0,,unknown,,,,,unknown
Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,1877-11-28,0,,unknown,,,,,unknown
Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,1877-11-28,0,,unknown,,,,,unknown
Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,1877-11-28,0,,unknown,,,,,unknown
Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,,,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Nay,1877-11-30,0,,unknown,,,,,unknown
Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,1877-11-30,0,,unknown,,,,,unknown
Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,,,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,1877-11-30,0,,unknown,,,,,unknown
Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,1877-11-30,0,,unknown,,,,,unknown
Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,1877-11-30,0,,unknown,,,,,unknown
Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,1877-11-30,0,,unknown,,,,,unknown
