A000075,A000093,A000115,A000166,A000199,A000245,A000310,A000318,A000343,B000059,B000247,B000259,B000266,B000339,B000376,B000473,B000492,B000582,B000599,B000631,B000680,B000694,B000701,B000719,B000782,B000829,B000841,B000881,B000900,B000950,B001037,B001049,B001143,B001145,B001175,B001191,C000003,C000008,C000031,C000037,C000060,C000096,C000206,C000224,C000292,C000459,C000511,C000524,C000548,C000554,C000603,C000611,C000676,C000703,C000790,C000941,D000034,D000045,D000181,D000313,D000350,D000361,D000375,D000443,D000515,D000532,D000540,D000573,E000058,E000105,E000231,E000255,E000275,F000055,F000158,F000325,F000360,F000412,G000125,G000138,G000167,G000172,G000220,G000285,G000330,G000339,G000341,G000414,G000477,H000005,H000077,H000083,H000118,H000126,H000139,H000178,H000208,H000214,H000243,H000252,H000255,H000381,H000395,H000435,H000520,H000557,H000622,H000651,H000714,H000738,H000825,H000845,H000853,H000880,H000992,I000013,J000023,J000031,J000116,J000147,J000172,J000222,J000280,K000021,K000137,K000198,K000201,K000203,K000205,K000211,K000215,L000008,L000215,L000262,L000356,M000102,M000106,M000147,M000154,M000218,M000251,M000337,M000412,M000419,M000443,M000529,M000534,M000537,M000546,M000578,M000595,M000612,M000613,M000618,M000721,M000742,M000780,M000900,M000936,M000979,M000994,M001011,M001016,N000045,N000047,N000066,N000070,O000046,O000063,O000104,O000128,O000138,O000148,P000068,P000173,P000178,P000210,P000296,P000319,P000369,P000464,P000483,P000580,R000126,R000172,R000228,R000270,R000301,R000343,R000368,R000433,R000438,R000455,R000506,S000007,S000083,S000085,S000118,S000122,S000139,S000220,S000338,S000413,S000705,S000745,S000799,S000802,S000806,S000854,S000873,S000887,S001021,S001111,T000089,T000170,T000203,T000204,T000208,T000223,T000252,T000313,T000394,U000009,V000035,V000084,V000107,W000033,W000037,W000075,W000189,W000271,W000295,W000375,W000434,W000464,W000493,W000566,W000587,W000646,W000689,W000732,W000760,Y000055,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,,Not Voting,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,,Not Voting,Nay,Yea,Nay,Yea,,Not Voting,Yea,Yea,,Not Voting,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,,,,Nay,Nay,Not Voting,1851-02-27,0,,unknown,sjres58,,,,unknown
Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Not Voting,Not Voting,Yea,Nay,Yea,,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Nay,Yea,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,,Not Voting,,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,,,,Yea,Yea,Not Voting,1851-02-27,0,,unknown,hr462,,,,unknown
Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,,Nay,Nay,Nay,,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Not Voting,,Nay,Nay,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Nay,Nay,,Not Voting,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,,,,Not Voting,Not Voting,Nay,1851-02-28,0,,unknown,,,,,unknown
Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Nay,,Yea,Nay,Nay,Not Voting,Nay,Yea,,Yea,,Yea,Yea,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Yea,Nay,,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,,Yea,Nay,Not Voting,Nay,Yea,,Nay,Nay,Yea,,Not Voting,,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,,,Yea,Yea,Nay,1851-02-28,0,,unknown,hjres36,,,,unknown
Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,,Nay,Nay,Yea,,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Yea,Nay,,Not Voting,Yea,Nay,,Not Voting,,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,,,Nay,Not Voting,Yea,1851-02-28,0,,unknown,hjres36,,,,unknown
Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Yea,Nay,,Not Voting,Yea,Nay,,Not Voting,,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,,,Nay,Not Voting,Yea,1851-02-28,0,,unknown,hjres36,,,,unknown
Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,,Not Voting,,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,,,,Nay,Not Voting,Yea,1851-02-28,0,,unknown,hjres36,,,,unknown
Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Nay,,Yea,Yea,Nay,Nay,Nay,Yea,,Yea,,Yea,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,Not Voting,Nay,Yea,,Not Voting,Nay,Yea,,Not Voting,,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,,,,Not Voting,Not Voting,Nay,1851-02-28,0,,unknown,hjres36,,,,unknown
Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,,Nay,Nay,Not Voting,,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Yea,Nay,,Not Voting,Yea,Nay,,Not Voting,,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,,,Nay,Not Voting,Yea,1851-02-28,0,,unknown,hjres36,,,,unknown
Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,,Nay,Nay,Not Voting,,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Not Voting,Yea,Nay,Yea,Nay,,Yea,Yea,Nay,,Not Voting,,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,,,,Nay,Not Voting,Yea,1851-02-28,0,,unknown,hjres36,,,,unknown
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,,Yea,Not Voting,Nay,,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,,Yea,Yea,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Nay,Yea,,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,,Nay,Not Voting,Yea,Yea,Yea,,Not Voting,Yea,Yea,,Not Voting,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,,,,Nay,Nay,Nay,1851-02-28,0,,unknown,hr462,,,,unknown
Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,,Not Voting,Not Voting,Nay,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,,Not Voting,,Yea,Yea,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Not Voting,Yea,,Nay,Yea,Yea,,Not Voting,,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,,,,Nay,Nay,Yea,1851-02-28,0,,unknown,s349,,,,unknown
